,Variable,Wave 1,Wave 2,Wave 3,Labels,Page,German Question,English Question,Values
Scale Markus Söder,political_app.1.player.scalo_pep12	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Annalena Baerbock,political_app.1.player.scalo_pep13	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Alice Weidel,political_app.1.player.scalo_pep14	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Sahra Wagenknecht,political_app.1.player.scalo_pep15	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Benjamin Netanjahu,political_app.1.player.scalo_pep16        ,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Political Question Federal Politics,political_app.1.player.politics_question_one	,Yes,Yes,Yes,Selection,PoliticalQuestions - PoliticalApp,"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Wichtige Fragen zur Bundespolitik in Deutschland kann ich gut verstehen und einschätzen.""","""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. I am able to understand important questions regarding federal politics in Germany.""",5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer
Political Question MPs Contact,political_app.1.player.politics_question_two	,Yes,Yes,Yes,Selection,PoliticalQuestions - PoliticalApp,"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Die Abgeordneten des deutschen Bundestages bemühen sich um einen engen Kontakt zur Bevölkerung.""","""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. The members of the German parliament strive to keep in close touch with the people.""",5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer
Political Question Discussion,political_app.1.player.politics_question_three	,Yes,Yes,Yes,Selection,PoliticalQuestions - PoliticalApp,"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Ich traue mir zu, mich an einem Gespräch über politische Fragen zur Bundespolitik aktiv zu beteiligen.""","""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. I have confidence to take an active part in a discussion about issues regarding federal politics.""",5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer
Political Question MPs Care,political_app.1.player.politics_question_four	,Yes,Yes,Yes,Selection,PoliticalQuestions - PoliticalApp,"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Die Abgeordneten des deutschen Bundestages kümmern sich darum, was Leute wich ich denken.""","""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. The members of the German parliament care about what people like me think.""",5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer
Political Question Capabilities,political_app.1.player.politics_question_five	,Yes,Yes,Yes,Selection,PoliticalQuestions - PoliticalApp,"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. In schwierigen Situationen kann ich mich auf meine Fähigkeiten verlassen.""","""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. In difficult situations, I can trust my capabilities.""",5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer
Political Question Problems,political_app.1.player.politics_question_six	,Yes,Yes,Yes,Selection,PoliticalQuestions - PoliticalApp,"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Die meisten Probleme kann ich aus eigener Kraft gut meistern.""","""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. I can cope with most problems myself.""",5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer
Political Question Complex Tasks,political_app.1.player.politics_question_seven	,Yes,Yes,Yes,Selection,PoliticalQuestions - PoliticalApp,"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Auch anstrengende und komplizierte Aufgaben kann ich in der Regel gut lösen.""","""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. In general, I can solve challenging and complex tasks.""",5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer
Left-Right Assessment CDU,political_app.1.player.lr_CDU	,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Left-Right Assessment CSU,political_app.1.player.lr_CSU	,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Left-Right Assessment SPD,political_app.1.player.lr_SPD	,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Left-Right Assessment Gruene,political_app.1.player.lr_Gruene	,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Left-Right Assessment FDP,political_app.1.player.lr_FDP	,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Left-Right Assessment Linke,political_app.1.player.lr_Linke	,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Left-Right Assessment AfD,political_app.1.player.lr_AfD	,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Left-Right Assessment BSW,political_app.1.player.lr_BSW,Yes,Yes,Yes,Selection,LeftRightParty - PoliticalApp / LeftRightPartyGrids - PoliticalApp,"""In der Politik reden die Leute häufig von ""links"" und ""rechts"". Wenn Sie diese Skala von 1 bis 11 benutzen, wo würden Sie die folgenden Parteien einordnen, wenn 1 ""links"" und 11 ""rechts"" ist?""","""In politics, people sometimes talk of ""left"" and ""right"". Where would you place the following parties on the scale if 1 is ""left"" and 11 is ""right""?",1 (left) - 11 (right); -999 = No Answer
Random Number,end_app.1.player.rnumber	,Yes,Yes,Yes,Auto,RandomNumber - EndApp,"""Sie werden diesen 6-stelligen Code am Ende des Semesters brauchen. Bitte notieren Sie sich die folgende Nummer oder machen Sie einen Screenshot. Sie dient als Beleg dafür, dass Sie an der Befragung teilgenommen haben und wird es Ihnen erlauben Ihre Bonuspunkte zu erhalten.""","""You will need this 6-number code at the end of the semester. Please write it down or take a screenshot. It serves as proof that you have participated in this survey and will allow you to claim your bonus points.""",
Random Number Check,end_app.1.player.rnumbercheck,Yes,Yes,Yes,Field,RandomNumber - EndApp,"""Bitte geben Sie zur Beschäftigung den Code, den Sie gerade erhalten haben, in das Textfeld ein.""","""In order to confirm, please enter the code you have just received in the field below.""",
Cat or Dog,	end_app.1.player.catdog																								,No,No,Yes,Selection,RandomNumber - EndApp,"""Nun noch die wichtigste Frage. Wenn Sie sich entscheiden müssten, wen mögen Sie lieber, Hunde oder Katzen?""","""Now the most important question. If you had to decide, who do you prefer, dogs or cats?""","1 = ""Cats of course!""; 2 = ""Dogs of course!""; 3 = ""How can you make me chose, I love them both equally!""; 4 = ""Neither!""; -999 = ""No Answer"""
